payment_id,booking_id,payment_method,amount,amount_quality
PAY1131,B1939,UPI,8851.37,VALID
PAY1132,B1446,UPI,4197.73,VALID
PAY1133,B1873,CARD,12510.96,VALID
PAY1134,B1221,UPI,5138.43,VALID
PAY1135,B1051,CARD,10875.08,VALID
PAY1136,B1115,UPI,8185.02,VALID
PAY1137,B1537,NETBANKING,9202.57,VALID
PAY1138,B1564,NETBANKING,3514.52,VALID
PAY1139,B1876,NETBANKING,11290.32,VALID
PAY1140,B1540,CARD,3640.69,VALID
PAY1141,B1018,UPI,2588.63,VALID
PAY1142,B1814,UPI,8653.51,VALID
PAY1143,B1391,CARD,10930.16,VALID
PAY1144,B1790,CARD,1700.5,VALID
PAY1145,B1628,CARD,1971.53,VALID
PAY1146,B1617,CARD,12237.51,VALID
PAY1147,B1418,CARD,12326.46,VALID
PAY1148,B1990,NETBANKING,4434.27,VALID
PAY1149,B1308,UPI,9613.19,VALID
PAY1150,B1738,CARD,7204.52,VALID
PAY1151,B1863,NETBANKING,9857.74,VALID
PAY1152,B1185,CARD,13080.31,VALID
PAY1153,B1260,NETBANKING,2117.99,VALID
PAY1154,B1527,CARD,11891.78,VALID
PAY1155,B1272,UPI,7902.41,VALID
PAY1156,B1159,CARD,8897.78,VALID
PAY1157,B1869,CARD,10155.04,VALID
PAY1158,B1761,UPI,13916.72,VALID
PAY1159,B1223,UPI,1794.08,VALID
PAY1160,B1255,CARD,1412.67,VALID
PAY1161,B1179,UPI,3495.66,VALID
PAY1162,B1019,UPI,14810.27,VALID
PAY1163,B1623,NETBANKING,11011.07,VALID
PAY1164,B1631,UPI,9604.98,VALID
PAY1165,B1705,UPI,1658.55,VALID
PAY1166,B1467,CARD,13307.54,VALID
PAY1167,B1622,CARD,12378.6,VALID
PAY1168,B1209,NETBANKING,10307.2,VALID
PAY1169,B1512,CARD,5747.83,VALID
PAY1170,B1057,UPI,1987.07,VALID
PAY1171,B1092,UPI,9120.54,VALID
PAY1172,B1220,UPI,11075.72,VALID
PAY1173,B1722,CARD,,INVALID
PAY1174,B1939,UPI,9872.75,VALID
PAY1175,B1231,UPI,5009.12,VALID
PAY1176,B1773,NETBANKING,11699.42,VALID
PAY1177,B1363,NETBANKING,8554.62,VALID
PAY1178,B1614,NETBANKING,2806.52,VALID
PAY1179,B1561,CARD,8371.27,VALID
PAY1180,B1373,UPI,6540.32,VALID
PAY1181,B1621,UPI,3524.98,VALID
PAY1182,B1455,UPI,12781.22,VALID
PAY1183,B1087,NETBANKING,1154.4,VALID
PAY1184,B1019,UPI,,MISSING
PAY1185,B1013,UPI,1176.33,VALID
PAY1186,B1132,UPI,,MISSING
PAY1187,B1936,UPI,5159.35,VALID
PAY1188,B1807,UPI,1759.8,VALID
PAY1189,B1033,CARD,9352.83,VALID
PAY1190,B1891,UPI,2216.08,VALID
PAY1191,B1207,CARD,10823.99,VALID
PAY1192,B1812,UPI,1736.99,VALID
PAY1193,B1198,CARD,1830.32,VALID
PAY1194,B1591,UPI,5274.56,VALID
PAY1195,B1582,UPI,13552.0,VALID
PAY1196,B1154,UPI,9979.51,VALID
PAY1197,B1589,UPI,11781.84,VALID
PAY1198,B1077,NETBANKING,2981.73,VALID
PAY1199,B1171,UPI,12677.76,VALID
PAY1200,B1288,CARD,1114.05,VALID
PAY1201,B1544,NETBANKING,3982.8,VALID
PAY1202,B1811,NETBANKING,9625.29,VALID
PAY1203,B1787,UPI,6253.45,VALID
PAY1204,B1878,CARD,14778.71,VALID
PAY1205,B1419,CARD,1424.75,VALID
PAY1206,B1006,NETBANKING,14980.37,VALID
PAY1207,B1159,CARD,,MISSING
PAY1208,B1239,UPI,8821.9,VALID
PAY1209,B1962,UPI,1833.17,VALID
PAY1210,B1422,UPI,4826.6,VALID
PAY1211,B1988,UPI,13945.28,VALID
PAY1212,B1535,UPI,5959.44,VALID
PAY1213,B1725,NETBANKING,,INVALID
PAY1214,B1069,UPI,14992.95,VALID
PAY1215,B1879,UPI,4682.98,VALID
PAY1216,B1215,NETBANKING,9065.13,VALID
PAY1217,B1103,NETBANKING,10750.13,VALID
PAY1218,B1726,NETBANKING,3304.78,VALID
PAY1219,B1053,CARD,3081.42,VALID
PAY1220,B1805,CARD,,MISSING
PAY1221,B1329,UPI,6401.38,VALID
PAY1222,B1847,UPI,10999.02,VALID
PAY1223,B1202,UPI,1973.12,VALID
PAY1224,B1287,CARD,14610.33,VALID
PAY1225,B1044,UPI,1199.88,VALID
PAY1226,B1828,UPI,9418.44,VALID
PAY1227,B1197,CARD,8876.86,VALID
PAY1228,B1215,NETBANKING,2886.02,VALID
PAY1229,B1480,CARD,3112.82,VALID
PAY1230,B1308,UPI,12097.48,VALID
PAY1231,B1895,CARD,13425.87,VALID
PAY1232,B1434,NETBANKING,4962.24,VALID
PAY1233,B1331,NETBANKING,7131.5,VALID
PAY1234,B1695,NETBANKING,5969.93,VALID
PAY1235,B1026,NETBANKING,2015.66,VALID
PAY1236,B1165,NETBANKING,10424.86,VALID
PAY1237,B1317,NETBANKING,12552.7,VALID
PAY1238,B1273,UPI,5268.31,VALID
PAY1239,B1382,UPI,14862.46,VALID
PAY1240,B1364,CARD,2061.92,VALID
PAY1241,B1102,UPI,10265.07,VALID
PAY1242,B1959,NETBANKING,7275.19,VALID
PAY1243,B1502,UPI,7252.43,VALID
PAY1244,B1844,CARD,,INVALID
PAY1245,B1372,NETBANKING,4621.54,VALID
PAY1246,B1615,UPI,11017.88,VALID
PAY1247,B1925,UPI,11102.07,VALID
PAY1248,B1244,CARD,4953.56,VALID
PAY1249,B1816,NETBANKING,,INVALID
PAY1250,B1168,CARD,5435.83,VALID
PAY1251,B1627,NETBANKING,11151.3,VALID
PAY1252,B1652,NETBANKING,2694.0,VALID
PAY1253,B1417,UPI,3361.82,VALID
PAY1254,B1355,CARD,5421.14,VALID
PAY1255,B1477,CARD,9314.23,VALID
PAY1256,B1124,CARD,,MISSING
PAY1257,B1536,NETBANKING,6548.99,VALID
PAY1258,B1705,CARD,2089.75,VALID
PAY1259,B1895,NETBANKING,6230.89,VALID
PAY1260,B1611,CARD,10642.75,VALID
PAY1261,B1401,CARD,10393.94,VALID
PAY1262,B1516,UPI,3242.75,VALID
PAY1263,B1530,CARD,1108.98,VALID
PAY1264,B1681,UPI,11541.74,VALID
PAY1265,B1785,UPI,2489.15,VALID
PAY1266,B1253,NETBANKING,2152.89,VALID
PAY1267,B1120,CARD,1037.82,VALID
PAY1268,B1031,CARD,7056.42,VALID
PAY1269,B1660,CARD,,MISSING
PAY1270,B1777,UPI,9927.3,VALID
PAY1271,B1036,CARD,5144.89,VALID
PAY1272,B1688,NETBANKING,10945.95,VALID
PAY1273,B1341,NETBANKING,,MISSING
PAY1274,B1012,CARD,12647.86,VALID
PAY1275,B1182,UPI,9005.88,VALID
PAY1276,B1656,NETBANKING,9174.46,VALID
PAY1277,B1264,NETBANKING,3936.86,VALID
PAY1278,B1087,UPI,2037.52,VALID
PAY1279,B1939,NETBANKING,7506.15,VALID
PAY1280,B1461,UPI,9618.57,VALID
PAY1281,B1045,NETBANKING,2330.65,VALID
PAY1282,B1391,UPI,14307.48,VALID
PAY1283,B1118,NETBANKING,,MISSING
PAY1284,B1932,CARD,8636.39,VALID
PAY1285,B1530,NETBANKING,14300.97,VALID
PAY1286,B1446,NETBANKING,3512.23,VALID
PAY1287,B1731,CARD,1355.89,VALID
PAY1288,B1941,CARD,1551.73,VALID
PAY1289,B1744,CARD,9225.17,VALID
PAY1290,B1605,CARD,,INVALID
PAY1291,B1966,UPI,14419.64,VALID
PAY1292,B1762,UPI,2987.06,VALID
PAY1293,B1761,NETBANKING,5266.12,VALID
PAY1294,B1793,NETBANKING,12515.25,VALID
PAY1295,B1743,NETBANKING,4062.36,VALID
PAY1296,B1045,UPI,4401.56,VALID
PAY1297,B1885,NETBANKING,9992.33,VALID
PAY1298,B1507,NETBANKING,4865.21,VALID
PAY1299,B1557,UPI,4044.27,VALID
PAY1300,B1970,NETBANKING,4558.49,VALID
PAY1301,B1525,UPI,7869.06,VALID
PAY1302,B1596,UPI,14525.4,VALID
PAY1303,B1830,CARD,12651.33,VALID
PAY1304,B1839,CARD,4984.54,VALID
PAY1305,B1002,UPI,6087.22,VALID
PAY1306,B1027,UPI,7503.17,VALID
PAY1307,B1380,CARD,14705.02,VALID
PAY1308,B1156,NETBANKING,3413.47,VALID
PAY1309,B1854,NETBANKING,6004.76,VALID
PAY1310,B1913,NETBANKING,11211.97,VALID
PAY1311,B1930,UPI,,MISSING
PAY1312,B1510,CARD,3179.45,VALID
PAY1313,B1332,NETBANKING,4183.32,VALID
PAY1314,B1843,CARD,4159.73,VALID
PAY1315,B1686,CARD,1293.05,VALID
PAY1316,B1113,UPI,9457.62,VALID
PAY1317,B1388,NETBANKING,10389.84,VALID
PAY1318,B1486,CARD,9435.36,VALID
PAY1319,B1842,UPI,1998.52,VALID
PAY1320,B1249,UPI,1969.22,VALID
PAY1321,B1570,UPI,3945.41,VALID
PAY1322,B1714,NETBANKING,5064.12,VALID
PAY1323,B1314,NETBANKING,,INVALID
PAY1324,B1238,UPI,3231.46,VALID
PAY1325,B1233,NETBANKING,1617.29,VALID
PAY1326,B1302,NETBANKING,6515.83,VALID
PAY1327,B1606,CARD,6829.49,VALID
PAY1328,B1990,UPI,,MISSING
PAY1329,B1652,UPI,12576.65,VALID
PAY1330,B1333,NETBANKING,2372.08,VALID
PAY1331,B1112,UPI,10855.19,VALID
PAY1332,B1620,UPI,5731.24,VALID
PAY1333,B1361,UPI,5339.72,VALID
PAY1334,B1856,NETBANKING,14055.6,VALID
PAY1335,B1800,NETBANKING,4478.56,VALID
PAY1336,B1096,NETBANKING,9995.45,VALID
PAY1337,B1957,CARD,4851.79,VALID
PAY1338,B1846,UPI,8100.01,VALID
PAY1339,B1015,CARD,12008.1,VALID
PAY1340,B1555,NETBANKING,13344.12,VALID
PAY1341,B1953,CARD,12741.76,VALID
PAY1342,B1375,UPI,9150.53,VALID
PAY1343,B1741,UPI,4483.43,VALID
PAY1344,B1389,NETBANKING,,MISSING
PAY1345,B1619,NETBANKING,10938.67,VALID
PAY1346,B1216,CARD,1149.69,VALID
PAY1347,B1398,NETBANKING,7148.95,VALID
PAY1348,B1259,CARD,12805.67,VALID
PAY1349,B1823,UPI,7854.23,VALID
PAY1350,B1319,UPI,5359.26,VALID
PAY1351,B1195,UPI,13205.17,VALID
PAY1352,B1477,UPI,3182.33,VALID
PAY1353,B1417,UPI,3890.23,VALID
PAY1354,B1474,CARD,10623.21,VALID
PAY1355,B1606,UPI,5934.1,VALID
PAY1356,B1567,CARD,10982.24,VALID
PAY1357,B1543,UPI,3207.85,VALID
PAY1358,B1230,CARD,4531.77,VALID
PAY1359,B1883,CARD,3193.06,VALID
PAY1360,B1520,CARD,14340.74,VALID
PAY1361,B1702,NETBANKING,,MISSING
PAY1362,B1872,CARD,5721.08,VALID
PAY1363,B1199,CARD,1198.83,VALID
PAY1364,B1845,UPI,3147.85,VALID
PAY1365,B1672,CARD,6895.9,VALID
PAY1366,B1598,CARD,1959.04,VALID
PAY1367,B1020,NETBANKING,8150.35,VALID
PAY1368,B1310,UPI,7370.22,VALID
PAY1369,B1587,NETBANKING,11740.35,VALID
PAY1370,B1952,NETBANKING,10237.24,VALID
PAY1371,B1897,NETBANKING,7243.26,VALID
PAY1372,B1652,CARD,4145.25,VALID
PAY1373,B1637,NETBANKING,11176.09,VALID
PAY1374,B1762,NETBANKING,10910.07,VALID
PAY1375,B1899,UPI,3146.15,VALID
PAY1376,B1595,UPI,13806.53,VALID
PAY1377,B1433,UPI,1901.67,VALID
PAY1378,B1370,UPI,1770.53,VALID
PAY1379,B1559,NETBANKING,3622.91,VALID
PAY1380,B1890,UPI,13732.45,VALID
PAY1381,B1077,CARD,8279.97,VALID
PAY1382,B1541,NETBANKING,12031.17,VALID
PAY1383,B1284,UPI,4189.8,VALID
PAY1384,B1647,NETBANKING,7863.11,VALID
PAY1385,B1139,UPI,6016.05,VALID
PAY1386,B1552,NETBANKING,12589.6,VALID
PAY1387,B1997,UPI,,MISSING
PAY1388,B1281,CARD,4413.8,VALID
PAY1389,B1561,UPI,3136.04,VALID
PAY1390,B1257,NETBANKING,13028.65,VALID
PAY1391,B1822,NETBANKING,7545.61,VALID
PAY1392,B1359,CARD,,MISSING
PAY1393,B1439,NETBANKING,7292.76,VALID
PAY1394,B1269,CARD,14606.94,VALID
PAY1395,B1133,NETBANKING,12903.74,VALID
PAY1396,B1745,NETBANKING,10889.16,VALID
PAY1397,B1639,CARD,5066.71,VALID
PAY1398,B1103,NETBANKING,3312.42,VALID
PAY1399,B1765,NETBANKING,13900.07,VALID
PAY1400,B1094,CARD,6923.06,VALID
PAY1401,B1848,UPI,4902.58,VALID
PAY1402,B1728,CARD,7592.89,VALID
PAY1403,B1572,NETBANKING,13849.86,VALID
PAY1404,B1479,UPI,6418.94,VALID
PAY1405,B1779,UPI,8876.97,VALID
PAY1406,B1240,UPI,12241.53,VALID
PAY1407,B1012,CARD,6979.86,VALID
PAY1408,B1146,UPI,,INVALID
PAY1409,B1939,UPI,14923.36,VALID
PAY1410,B1751,UPI,14391.99,VALID
PAY1411,B1600,NETBANKING,12808.71,VALID
PAY1412,B1094,CARD,10637.23,VALID
PAY1413,B1826,CARD,5128.12,VALID
PAY1414,B1292,NETBANKING,13787.78,VALID
PAY1415,B1024,UPI,4857.79,VALID
PAY1416,B1271,NETBANKING,12211.33,VALID
PAY1417,B1504,NETBANKING,13855.61,VALID
PAY1418,B1165,UPI,9442.05,VALID
PAY1419,B1938,UPI,12242.79,VALID
PAY1420,B1761,CARD,12083.73,VALID
PAY1421,B1086,UPI,3704.21,VALID
PAY1422,B1653,NETBANKING,10350.94,VALID
PAY1423,B1645,NETBANKING,2308.55,VALID
PAY1424,B1984,UPI,8109.9,VALID
PAY1425,B1790,CARD,3271.3,VALID
PAY1426,B1637,NETBANKING,6828.89,VALID
PAY1427,B1827,UPI,12661.75,VALID
PAY1428,B1490,CARD,,INVALID
PAY1429,B1907,CARD,5451.44,VALID
PAY1430,B1140,NETBANKING,8447.38,VALID
PAY1431,B1867,NETBANKING,8158.17,VALID
PAY1432,B1102,CARD,14361.62,VALID
PAY1433,B1225,CARD,,INVALID
PAY1434,B1901,CARD,10787.49,VALID
PAY1435,B1574,UPI,13905.05,VALID
PAY1436,B1293,NETBANKING,6227.3,VALID
PAY1437,B1895,CARD,13629.71,VALID
PAY1438,B1305,NETBANKING,13844.39,VALID
PAY1439,B1253,NETBANKING,14029.28,VALID
PAY1440,B1179,NETBANKING,4786.25,VALID
PAY1441,B1039,CARD,6604.98,VALID
PAY1442,B1775,UPI,13185.54,VALID
PAY1443,B1700,CARD,6028.27,VALID
PAY1444,B1519,NETBANKING,9403.54,VALID
PAY1445,B1615,CARD,2652.76,VALID
PAY1446,B1736,CARD,1787.85,VALID
PAY1447,B1545,NETBANKING,6767.92,VALID
PAY1448,B1235,NETBANKING,,INVALID
PAY1449,B1462,CARD,6497.79,VALID
PAY1450,B1227,CARD,,INVALID
PAY1451,B1699,CARD,8211.18,VALID
PAY1452,B1824,CARD,10599.9,VALID
PAY1453,B1482,UPI,10093.45,VALID
PAY1454,B1429,CARD,6939.44,VALID
PAY1455,B1021,UPI,6949.93,VALID
PAY1456,B1342,NETBANKING,,MISSING
PAY1457,B1039,UPI,8185.34,VALID
PAY1458,B1172,NETBANKING,9220.51,VALID
PAY1459,B1438,UPI,7670.85,VALID
PAY1460,B1178,NETBANKING,,MISSING
PAY1461,B1597,CARD,11103.08,VALID
PAY1462,B1132,UPI,2045.26,VALID
PAY1463,B1350,UPI,13802.17,VALID
PAY1464,B1524,NETBANKING,1289.01,VALID
PAY1465,B1539,NETBANKING,14472.9,VALID
PAY1466,B1505,UPI,7472.98,VALID
PAY1467,B1083,NETBANKING,6777.38,VALID
PAY1468,B1992,CARD,4590.22,VALID
PAY1469,B1463,UPI,1141.0,VALID
PAY1470,B1829,CARD,4847.06,VALID
PAY1471,B1860,UPI,2531.6,VALID
PAY1472,B1342,CARD,10237.49,VALID
PAY1473,B1279,UPI,5467.05,VALID
PAY1474,B1865,NETBANKING,11740.51,VALID
PAY1475,B1262,UPI,3896.83,VALID
PAY1476,B1165,CARD,13603.29,VALID
PAY1477,B1292,UPI,8321.74,VALID
PAY1478,B1508,CARD,2603.09,VALID
PAY1479,B1579,CARD,6611.83,VALID
PAY1480,B1225,CARD,3894.65,VALID
PAY1481,B1169,NETBANKING,3795.6,VALID
PAY1482,B1597,UPI,8089.18,VALID
PAY1483,B1644,CARD,10406.49,VALID
PAY1484,B1447,NETBANKING,13762.65,VALID
PAY1485,B1689,CARD,8030.27,VALID
PAY1486,B1854,UPI,14521.74,VALID
PAY1487,B1501,NETBANKING,14182.89,VALID
PAY1488,B1763,CARD,,INVALID
PAY1489,B1526,CARD,7999.68,VALID
PAY1490,B1734,CARD,2972.66,VALID
PAY1491,B1378,UPI,4050.66,VALID
PAY1492,B1200,NETBANKING,10067.38,VALID
PAY1493,B1618,NETBANKING,6904.57,VALID
PAY1494,B1249,NETBANKING,3055.22,VALID
PAY1495,B1948,CARD,7705.92,VALID
PAY1496,B1408,NETBANKING,1244.03,VALID
PAY1497,B1600,CARD,11274.54,VALID
PAY1498,B1124,UPI,2030.14,VALID
PAY1499,B1112,NETBANKING,9807.59,VALID
PAY1500,B1980,CARD,12102.14,VALID
PAY1501,B1136,NETBANKING,2857.01,VALID
PAY1502,B1758,NETBANKING,8260.94,VALID
PAY1503,B1495,UPI,11906.95,VALID
PAY1504,B1677,NETBANKING,4648.87,VALID
PAY1505,B1149,UPI,3280.83,VALID
PAY1506,B1874,NETBANKING,5715.47,VALID
PAY1507,B1342,NETBANKING,8765.79,VALID
PAY1508,B1944,NETBANKING,9053.91,VALID
PAY1509,B1579,NETBANKING,2832.27,VALID
PAY1510,B1732,NETBANKING,7405.96,VALID
PAY1511,B1782,NETBANKING,4755.95,VALID
PAY1512,B1320,UPI,12788.34,VALID
PAY1513,B1821,UPI,5390.05,VALID
PAY1514,B1925,CARD,12741.86,VALID
PAY1515,B1860,NETBANKING,6999.9,VALID
PAY1516,B1531,UPI,11172.2,VALID
PAY1517,B1288,NETBANKING,8140.84,VALID
PAY1518,B1488,NETBANKING,9707.48,VALID
PAY1519,B1491,UPI,6534.99,VALID
PAY1520,B1611,NETBANKING,11754.89,VALID
PAY1521,B1251,UPI,6952.65,VALID
PAY1522,B1981,UPI,7404.46,VALID
PAY1523,B1076,CARD,8247.5,VALID
PAY1524,B1646,CARD,12645.54,VALID
PAY1525,B1391,CARD,10231.31,VALID
PAY1526,B1411,CARD,5888.25,VALID
PAY1527,B1172,NETBANKING,10384.47,VALID
PAY1528,B1874,NETBANKING,9993.97,VALID
PAY1529,B1200,CARD,14034.27,VALID
PAY1530,B1216,UPI,12779.83,VALID
PAY1531,B1375,UPI,10064.26,VALID
PAY1532,B1719,UPI,5781.1,VALID
PAY1533,B1585,UPI,11914.07,VALID
PAY1534,B1010,NETBANKING,,INVALID
PAY1535,B1798,UPI,14793.78,VALID
PAY1536,B1767,UPI,4465.09,VALID
PAY1537,B1011,CARD,2115.18,VALID
PAY1538,B1891,UPI,1978.49,VALID
PAY1539,B1990,NETBANKING,9960.43,VALID
PAY1540,B1589,UPI,14149.64,VALID
PAY1541,B1434,UPI,1027.05,VALID
PAY1542,B1683,NETBANKING,11160.79,VALID
PAY1543,B1607,CARD,10198.91,VALID
PAY1544,B1817,NETBANKING,11252.26,VALID
PAY1545,B1372,CARD,5975.68,VALID
PAY1546,B1272,UPI,12486.95,VALID
PAY1547,B1930,CARD,1625.9,VALID
PAY1548,B1896,CARD,,MISSING
PAY1549,B1924,CARD,4739.01,VALID
PAY1550,B1690,UPI,7675.73,VALID
PAY1551,B1575,CARD,12516.91,VALID
PAY1552,B1508,CARD,4799.03,VALID
PAY1553,B1131,UPI,3592.91,VALID
PAY1554,B1854,NETBANKING,10538.38,VALID
PAY1555,B1923,NETBANKING,8467.53,VALID
PAY1556,B1783,NETBANKING,8201.65,VALID
PAY1557,B1318,UPI,4594.77,VALID
PAY1558,B1843,UPI,1488.32,VALID
PAY1559,B1948,NETBANKING,6743.77,VALID
PAY1560,B1852,CARD,2491.83,VALID
PAY1561,B1620,NETBANKING,13683.85,VALID
PAY1562,B1784,UPI,1577.5,VALID
PAY1563,B1167,CARD,7043.11,VALID
PAY1564,B1396,CARD,1731.44,VALID
PAY1565,B1179,UPI,2337.61,VALID
PAY1566,B1057,CARD,10224.13,VALID
PAY1567,B1479,NETBANKING,10059.56,VALID
PAY1568,B1932,UPI,,MISSING
PAY1569,B1590,UPI,1015.84,VALID
PAY1570,B1459,UPI,2103.45,VALID
PAY1571,B1060,UPI,11681.98,VALID
PAY1572,B1368,CARD,9184.07,VALID
PAY1573,B1120,UPI,1533.66,VALID
PAY1574,B1718,UPI,7833.36,VALID
PAY1575,B1545,CARD,10968.41,VALID
PAY1576,B1581,UPI,,INVALID
PAY1577,B1016,CARD,14076.51,VALID
PAY1578,B1495,CARD,5584.17,VALID
PAY1579,B1496,UPI,2901.65,VALID
PAY1580,B1504,NETBANKING,4316.96,VALID
PAY1581,B1531,UPI,,MISSING
PAY1582,B1968,NETBANKING,14600.78,VALID
PAY1583,B1314,CARD,7529.51,VALID
PAY1584,B1068,NETBANKING,5274.94,VALID
PAY1585,B1726,UPI,7008.67,VALID
PAY1586,B1160,UPI,5267.38,VALID
